NumeroPedido;DtHoraPedido;DtHoraIntegracaoERP;Loja-Nome;Cod Loja;Bairro Entrega;CategoriaProduto;FormaPagamento;QTD.Itens;Qtd Unidades Devolvidas;NrItensCancelados;Peso Total (kg);ValorBrutoPedido(R$);Valor Desconto (R$);ValorLiquidoPedido(R$);HouveDesconto;CanalPedido;Dt Separacao Estoque;DtNotaFiscal;Dt_Despacho_Transportadora;DtEntregaCliente;Valor Frete (R$);TransportadoraResponsavel;SituacaoPedido;OBS
PA-2023-01669;12/10/2023 02:38 AM;12/10/2023 03:28 AM;Pata Amiga Jaraguá do Sul;LJ-014;Jaragua Esquerdo;MEDICAMENTO;Pix;4;0;;5.1;R$ 280,60;98,49;182;V;SITE;2023-12-11;2023-12-12;2023-12-14;2023-12-16;20;TransPet Log;Entregue;
PA-2023-01681;12/10/2023 04:07 AM;12/10/2023 04:42 AM;Pata Amiga Tubarao;LJ-022;Oficinas;brinquedo;Credito;2;0;2;5,9;147,86;1;R$ 146,23;X;APP;2023-12-11;2023-12-12;2023-12-15;2023-12-18;15,48;Rapido Catarinense;Entregue;cliente pediu entrega no periodo da tarde
PA-2023-01665;12/10/2023 03:50 AM;12/10/2023 06:50 AM;Pata Amiga Jaragua do Sul;LJ-014;Barra do Rio Cerro;Petisco;Pix;12;0;0;7.0;420.94;147,75;273,19;1;App;2023-12-12;2023-12-12;2023-12-17;2023-12-19;27,91;Rapido Catarinense;Entregue;pedido recorrente
PA-2023-01658;12/10/2023 04:23 AM;12/10/2023 09:23 AM;pata amiga itajai praia;;Sao Vicente;higiene;Cartão de Débito;6;0;0;12,5;226,09;41,60;184.49;V;Loja Física;;;;;;;Retirada na loja;cliente pediu entrega no periodo da tarde
PA-2023-01662;12/10/2023 10:35 AM;12/10/2023 10:45 AM;Pata Amiga Jaragua do Sul;;Centro;Rac.;Vale Pet;8;n/d;0;9.4;1.567,83;550,31;1.017,52;1;App;2023-12-12;;;;;Entrega Expressa SC;Aguardando nota fiscal;
PA-2023-01675;12/10/2023 11:35 AM;12/10/2023 11:45 AM;PATA AMIGA FLORIANOPOLIS NORTE;;Centro;Petisco;pix;1;0;0;0.6;R$ 52,42;0.00;52.42;Não;SITE;2023-12-13;2023-12-13;2023-12-16;2023-12-17;6.62;Rapido Catarinense;Entregue;produto fora de linha - substituido
PA-2023-01657;12/10/2023 07:12 AM;12/10/2023 12:12 PM;pata amiga itajai praia;LJ-003;Itaipava;Higiene;pix;8;0;0;28.8;497,76;R$ 91,59;406.17;S;loja fisica;;;;;;;Retirada na loja;
PA-2023-01659;12/10/2023 02:38 AM;12/10/2023 12:38 PM;Pata Amiga Brusque;;Santa Terezinha;MEDICAMENTO;Cartão de Crédito;4;0;0;13,9;419,69;R$ 77,22;342,47;true;App Pata Amiga;2023-12-11;2023-12-11;;;;Entrega Expressa SC;Aguardando despacho;aguardando confirmacao de estoque
PA-2023-01667;12/10/2023 12:45 PM;12/10/2023 12:55 PM;PATA AMIGA JARAGUA DO SUL;LJ-014;Barra do Rio Cerro;RACAO;Cartao de Debito;9;1;2;36,7;1505.94;528,58;977;Sim;site;;;;;;;Pedido cancelado;aguardando confirmacao de estoque
PA-2023-01660;12/10/2023 12:55 PM;12/10/2023 01:30 PM;PATA AMIGA ITUPORANGA;LJ-010;Vila Nova;Racao;CARTAO DE DEBITO;1;0;;0,4;185;28,34;156,90;;LOJA FISICA;;;;;;;Retirada na loja;produto fora de linha - substituido
PA-2023-01676;12/10/2023 01:47 PM;12/10/2023 03:07 PM;Pata Amiga Sao Jose Kobrasol;LJ-018;Forquilhinhas;Higiene e Beleza;boleto;3;0;0;3.8;183,51;34,13;149.38;1;Loja Fisica;;;;;;;Retirada na loja;cliente pediu entrega no periodo da tarde
PA-2023-01678;12/10/2023 01:38 PM;12/10/2023 04:38 PM;Pata Amiga Palhoca;LJ-019;Pagani;BRINQUEDO;Especie;7;0;0;14,9;;52,55;R$ 229,95;V;App Pata Amiga;2023-12-11;2023-12-12;2023-12-16;2023-12-18;R$ 48,68;Logistica Propria;Entregue;pedido recorrente
PA-2023-01682;12/10/2023 04:55 PM;12/10/2023 05:05 PM;PATA AMIGA CHAPECO;LJ-029;Centro;Medicamentos;boleto;1;0;0;1.8;95;R$ 0,00;R$ 95,54;Nao;App Pata Amiga;2023-12-11;2023-12-12;2023-12-15;2023-12-17;R$ 9,92;Correios;Entregue;pedido recorrente
PA-2023-01666;12/10/2023 12:45 PM;12/10/2023 05:45 PM;Pata Amiga Jaraguá do Sul;;Jaragua Esquerdo;Racao Medicamentosa;boleto;9;;0;12.0;R$ 1.264,05;443,68;820.37;X;APP;2023-12-12;2023-12-12;2023-12-17;;;Correios;Despachado - em transito;produto fora de linha - substituido
PA-2023-01673;12/10/2023 06:10 PM;12/10/2023 07:00 PM;Pata Amiga Jgua do Sul;;Barra do Rio Cerro;Hig.;boleto;3;0;0;8.1;121;42,73;79,00;;Site;2023-12-12;2023-12-12;2023-12-16;2023-12-18;27;Entrega Expressa SC;Entregue;pedido recorrente
PA-2023-01656;12/10/2023 09:07 AM;12/10/2023 07:07 PM; Pata Amiga Rio do Sul;;Budag;Ração Medicamentosa;Credito;3;0;1;9,5;407,11;R$ 4,89;R$ 402,22;Sim;;2023-12-12;2023-12-12;2023-12-13;2023-12-17;R$ 19,02;Logistica Propria;Entregue;
PA-2023-01670;12/10/2023 07:00 PM;12/10/2023 07:35 PM;Pata Amiga Jaragua do Sul;LJ-014;Ilha da Figueira;Hig.;Pix;5;0;0;16.2;R$ 187,26;R$ 65,73;R$ 121,53;true;App;2023-12-11;2023-12-12;2023-12-16;2023-12-18;55.92;Logistica Propria;Entregue;
PA-2023-01668;12/10/2023 06:38 PM;12/10/2023 07:58 PM;Pata Amiga Jgua do Sul;LJ-014;Barra do Rio Cerro;Petiscos;Credito;10;1;2;33.2;456.77;160,33;R$ 296,44;SIM;Tel.;2023-12-12;2023-12-12;2023-12-16;2023-12-19;R$ 82,92;Entrega Expressa SC;Entregue;embalagem para presente
PA-2023-01674;12/10/2023 09:47 PM;12/10/2023 09:57 PM;Pata Amiga Jaragua Do Sul;LJ-014;Centro;Racao;VALE PET;-;0;0;11.6;R$ 839,00;R$ 294,49;R$ 544,51;1;App Pata Amiga;2023-12-12;2023-12-12;2023-12-15;2023-12-18;R$ 39,93;Rapido Catarinense;Entregue;
PA-2023-01677;12/10/2023 08:40 PM;12/10/2023 10:40 PM;Pata Amiga Sao Jose Kobrasol/SC;LJ-018;Real Parque;petisco;VALE PET;6;0;0;12,8;279,19;51,93;R$ 227,26;true;app;2023-12-12;2023-12-12;2023-12-13;2023-12-15;R$ 30,59;TransPet Log;Entregue;
PA-2023-01661;12/10/2023 11:50 PM;12/11/2023 12:00 AM;Pata Amiga Joinville Sul;LJ-013;Aventureiro;RAÇÃO;BOLETO;2;0;0;4.3;393,76;0;393.76;F;WHATSAPP;2023-12-13;;;;;Entrega Expressa SC;Aguardando nota fiscal;
PA-2023-01671;12/10/2023 11:52 PM;12/11/2023 12:27 AM;Pata Amiga Jaragua Do Sul;;Barra do Rio Cerro;Petisco;DINHEIRO;8;n/d;0;4.6;R$ 371,72;130;241,25;1;Loja Física;;;;;;;Retirada na loja;embalagem para presente
PA-2023-01655;12/10/2023 11:20 PM;12/11/2023 01:20 AM; Pata Amiga Blumenau Centro;LJ-001;Vorstadt;Racao;Dinheiro;3;0;0;2,5;R$ 294,38;0;294,38;Não;App Pata Amiga;2023-12-13;2023-12-13;2023-12-16;2023-12-17;10,63;Rapido Catarinense;Entregue;conferir endereco com o cliente
PA-2023-01701;12/11/2023 12:35 AM;12/11/2023 01:55 AM;PATA AMIGA TUBARAO;LJ-022;Humaita;Petiscos;Cartão de Crédito;2;0;0;8.0;74.12;;R$ 69,90;S;Loja Fisica;;;;;;;Retirada na loja;
PA-2023-01683;12/11/2023 03:50 AM;12/11/2023 04:10 AM;PATA AMIGA BLUMENAU CENTRO;;Garcia;racao;dinheiro;3;0;0;10,9;;103.32;R$ 349,84;true;LOJA FISICA;;;;;;;Retirada na loja;
PA-2023-01679;12/10/2023 11:25 PM;12/11/2023 04:25 AM;PATA AMIGA PALHOCA;LJ-019;;MEDICAMENTO;boleto;10;1;0;9,0;879;163.66;716.22;SIM;WhatsApp;2023-12-12;2023-12-12;;;;Logistica Propria;Aguardando despacho;
PA-2023-01704;12/11/2023 03:40 AM;12/11/2023 05:00 AM;Pata Amiga Chapeco;LJ-029;Efapi;racao;vale pet;8;1;2;14.4;1.267,93;258,66;R$ 1.009,27;X;;2023-12-13;2023-12-13;2023-12-15;2023-12-16;R$ 31,32;TransPet Log;Entregue;embalagem para presente
PA-2023-01680;12/10/2023 07:12 PM;12/11/2023 05:12 AM;PATA AMIGA CRICIUMA;LJ-021;Sao Luiz;RAÇÃO;Pix;2;0;0;4,5;R$ 432,82;1,73;R$ 431,09;SIM;App Pata Amiga;2023-12-13;2023-12-14;;;;Entrega Expressa SC;Aguardando despacho;aguardando confirmacao de estoque
PA-2023-01702;12/11/2023 01:15 AM;12/11/2023 06:15 AM;pata amiga lages;;Habitacao;Acessorio;BOLETO;7;0;0;17,3;488,24;93,25;R$ 394,99;V;App;2023-12-13;2023-12-13;2023-12-17;2023-12-19;44,16;Entrega Expressa SC;Entregue;pedido recorrente
PA-2023-01712;12/11/2023 06:15 AM;12/11/2023 06:25 AM;Pata Amiga São Miguel do Oeste;LJ-032;Centro;MEDICAMENTO;Cartão de Débito;7;0;0;21.2;827.40;R$ 168,79;R$ 658,61;SIM;;2023-12-13;2023-12-14;2023-12-17;2023-12-18;62;TransPet Log;Entregue;cliente pediu entrega no periodo da tarde
PA-2023-01691;12/11/2023 06:12 AM;12/11/2023 07:32 AM;Pata Amiga Blumenal Centro;LJ-001;;Racao Seca;BOLETO;5;0;0;4,2;R$ 836,26;190,67;R$ 645,59;X;Site;;;;;;;Pedido cancelado;produto fora de linha - substituido
PA-2023-01694;12/11/2023 08:38 AM;12/11/2023 08:48 AM;Pata Amiga Gaspar;LJ-007;Figueira;Med.;dinheiro;8;0;2;16.7;R$ 697,63;R$ 159,06;538.57;1;telefone;2023-12-13;2023-12-14;;;;Correios;Aguardando despacho;
PA-2023-01710;12/11/2023 09:15 AM;12/11/2023 09:35 AM;Pata Amiga Xanxerê;LJ-031;Bela Vista;Hig.;CARTAO DE CREDITO;5;0;0;19.1;;64,55;251,87;true;app;2023-12-13;2023-12-14;2023-12-16;2023-12-18;48.47;Correios;Entregue;
PA-2023-01663;12/10/2023 11:52 PM;12/11/2023 09:52 AM;PATA AMIGA JARAGUA DO SUL;LJ-014;Centro;Petisco;DINHEIRO;7;1;0;15,2;265,90;93,33;172,57;X;SITE;2023-12-12;2023-12-13;;;;Correios;Aguardando despacho;pedido recorrente
PA-2023-01692;12/11/2023 11:05 AM;12/11/2023 11:40 AM;PATA AMIGA GASPAR;LJ-007;Figueira;Ração Medicamentosa;Cartao de Debito;6;0;0;19,5;699,80;159,55;R$ 540,25;SIM;SITE;2023-12-12;2023-12-12;2023-12-14;2023-12-15;56.14;Correios;Entregue;
PA-2023-01686;12/11/2023 11:15 AM;12/11/2023 12:05 PM;Pata Amiga Blumenau Centro;;Progresso;Racao Seca;Boleto;4;;0;13,6;R$ 659,27;150.31;508.96;S;App Pata Amiga;2023-12-14;2023-12-14;2023-12-17;2023-12-18;R$ 32,52;Correios;Entregue;produto fora de linha - substituido
PA-2023-01697;12/11/2023 09:50 AM;12/11/2023 12:50 PM;PATA AMIGA JARAGUA DO SUL;LJ-014;Ilha da Figueira;PETISCO;Debito;2;0;0;7.3;70,97;13,27;57,70;true;SITE;2023-12-13;2023-12-14;2023-12-19;2023-12-20;R$ 21,08;Correios;Entregue;
PA-2023-01688;12/11/2023 02:00 PM;12/11/2023 02:35 PM;Pata Amiga Blumenau Centro/SC;;Garcia;Higiene e Beleza;Credito;11;1;0;11,4;R$ 440,46;100.42;340.04;SIM;APP;2023-12-12;2023-12-12;2023-12-15;2023-12-16;R$ 41,63;TransPet Log;Entregue;
PA-2023-01699;12/11/2023 09:47 AM;12/11/2023 02:47 PM;PATA AMIGA FLORIANOPOLIS NORTE;LJ-017;Trindade;Higiene;Pix;4;0;0;10.6;224;4;219;S;App Pata Amiga;2023-12-12;;;;;Logistica Propria;Aguardando nota fiscal;cliente pediu entrega no periodo da tarde
PA-2023-01689;12/11/2023 04:07 PM;12/11/2023 04:27 PM;Pata Amiga Blumenau Centro;LJ-001;Salto do Norte;RAÇÃO;Dinheiro;9;0;0;4,4;1594.98;363,66;R$ 1.231,32;sim;App;2023-12-13;2023-12-13;2023-12-18;2023-12-20;12,99;TransPet Log;Entregue;embalagem para presente
PA-2023-01684;12/11/2023 05:07 PM;12/11/2023 05:57 PM;Pata Amiga Blumenal Centro;;Vorstadt;medicamento;vale pet;7;0;0;11,4;508;115.89;392,39;1;site;2023-12-13;2023-12-14;;;;Rapido Catarinense;Aguardando despacho;cliente pediu entrega no periodo da tarde
PA-2023-01700;12/11/2023 01:30 PM;12/11/2023 06:30 PM;Pata Amiga Palhoca;LJ-019;Ponte do Imaruim;Servico;Cartao de Credito;3;n/d;0;8,2;R$ 467,13;0.00;467.13;nao;Whatsapp;2023-12-13;2023-12-14;;;;Entrega Expressa SC;Aguardando despacho;
PA-2023-01705;12/11/2023 05:25 PM;12/11/2023 07:25 PM;Pata Amiga Chapecó;LJ-029;Passo dos Fortes;RAÇÃO;BOLETO;6;0;0;9.5;1.123,20;229;R$ 894,07;S;SITE;2023-12-13;;;;;Rapido Catarinense;Aguardando nota fiscal;
PA-2023-01707;12/11/2023 07:25 PM;12/11/2023 08:00 PM;Pata Amiga Concórdia;;Petropolis;Hig.;BOLETO;6;0;0;16.6;R$ 153,55;31;122,23;1;App;2023-12-13;2023-12-13;2023-12-15;;;Logistica Propria;Despachado - em transito;
PA-2023-01703;12/11/2023 06:07 PM;12/11/2023 08:07 PM;pata amiga chapeco;LJ-029;Efapi;RAÇÃO;CARTAO DE CREDITO;5;;1;10,8;R$ 680,53;R$ 138,83;541,70;1;WhatsApp;2023-12-13;2023-12-14;2023-12-18;2023-12-19;;Entrega Expressa SC;Entregue;
PA-2023-01711;12/11/2023 10:23 AM;12/11/2023 08:23 PM;PATA AMIGA XANXERE;LJ-031;Bela Vista;RACAO;Cartao de Credito;8;;0;28.1;1088.12;R$ 221,98;866,14;X;;;;;;;;Retirada na loja;produto fora de linha - substituido
PA-2023-01687;12/11/2023 08:20 PM;12/11/2023 08:40 PM;pata amiga blumenau centro;LJ-001;Vorstadt;Rac.;CARTAO DE DEBITO;3;0;0;6.7;591;134,90;456.77;Sim;Site;2023-12-12;2023-12-12;;;;Rapido Catarinense;Aguardando despacho;
PA-2023-01706;12/11/2023 08:47 PM;12/11/2023 08:57 PM;Pata Amiga Chapeco;;Passo dos Fortes;racao;Cartao de Credito;1;0;0;2.6;186,82;R$ 38,11;148;V;APP;2023-12-13;2023-12-14;2023-12-19;2023-12-21;10,91;Entrega Expressa SC;Entregue;
PA-2023-01709;12/11/2023 12:05 PM;12/11/2023 10:05 PM;PATA AMIGA CONCORDIA;;Centro;Medicamento;DINHEIRO;6;0;0;9,1;734.76;149,89;R$ 584,87;V;app;2023-12-12;2023-12-13;2023-12-19;;;Rapido Catarinense;Despachado - em transito;produto fora de linha - substituido
PA-2023-01708;12/11/2023 07:10 PM;12/11/2023 10:10 PM;Pata Amiga Concordia;LJ-030;Nacoes;petisco;Vale Pet;7;0;0;4.9;308.82;R$ 63,00;R$ 245,82;SIM;App Pata Amiga;2023-12-13;2023-12-14;2023-12-16;2023-12-18;17,46;Logistica Propria;Entregue;aguardando confirmacao de estoque
PA-2023-01695;12/11/2023 09:00 PM;12/11/2023 11:00 PM;PATA AMIGA GASPAR;;Bela Vista;Medicamento;DINHEIRO;;0;0;7.3;281,85;R$ 64,26;217,59;X;Site;2023-12-13;2023-12-13;;;;Entrega Expressa SC;Aguardando despacho;
PA-2023-01693;12/11/2023 06:45 PM;12/11/2023 11:45 PM;Pata Amiga Gaspar;LJ-007;Gasparinho;MEDICAMENTO;Debito;5;0;;11.4;695.85;158;537,20;S;site;2023-12-12;2023-12-12;2023-12-15;2023-12-17;R$ 21,58;Logistica Propria;Entregue;embalagem para presente
PA-2023-01690;12/11/2023 09:55 PM;12/11/2023 11:55 PM;Pata Amiga Blumenau Centro;;;Petiscos;Vale Pet;7;1;1;15,4;R$ 292,29;66,64;225,65;SIM;app;2023-12-12;2023-12-13;2023-12-15;2023-12-17;52,14;Entrega Expressa SC;Entregue;
PA-2023-01685;12/11/2023 11:23 PM;12/12/2023 12:13 AM; Pata Amiga Blumenau Centro;;Ribeirao Fresco;RAÇÃO;pix;5;0;0;13,4;673.70;153,60;520.10;SIM;;;;;;;;Retirada na loja;pedido recorrente
PA-2023-01698;12/11/2023 11:52 PM;12/12/2023 02:52 AM;PATA AMIGA JARAGUA DO SUL;;;BRINQUEDO;PIX;8;0;0;12.7;R$ 409,92;76,66;R$ 333,26;true;WhatsApp;2023-12-14;2023-12-15;2023-12-20;2023-12-23;18;Correios;Entregue;
PA-2023-01696;12/11/2023 05:52 PM;12/12/2023 03:52 AM;PATA AMIGA IBIRAMA;LJ-011;Nossa Senhora de Fatima;HIGIENE;Cartao de Credito;2;0;1;7.6;67.60;0,00;R$ 67,60;nao;Telefone;2023-12-17;2023-12-18;2023-12-28;;;TransPet Log;Despachado - em transito;
PA-2023-01717;12/12/2023 08:50 AM;12/12/2023 09:00 AM;PATA AMIGA XANXERE;;Bela Vista;Higiene e Beleza;VALE PET;2;0;0;4,5;118.28;0.00;118.28;Não;App Pata Amiga;2023-12-14;2023-12-14;;;;Logistica Propria;Aguardando despacho;
PA-2023-01714;12/12/2023 04:23 AM;12/12/2023 02:23 PM;Pata Amiga Rio do sul;LJ-002;Budag;BRINQUEDO;Pix;2;0;0;0,8;R$ 119,54;R$ 0,00;119.54;0;Tel.;2023-12-14;2023-12-14;2023-12-18;;;Rapido Catarinense;Despachado - em transito;produto fora de linha - substituido
PA-2023-01716;12/12/2023 11:50 AM;12/12/2023 04:50 PM;Pata Amiga Araranguá;LJ-023;Urussanguinha;ACESSORIO;Boleto;1;0;0;1,7;68;0.00;68.64;F;APP;2023-12-14;2023-12-15;2023-12-18;2023-12-19;9,52;Logistica Propria;Entregue;
PA-2023-01713;12/12/2023 08:23 PM;12/12/2023 10:23 PM; Pata Amiga Blumenau Centro;;Salto do Norte;brinquedo;VALE PET;4;;0;12,7;174,08;R$ 10,97;R$ 163,11;X;loja fisica;;;;;;;Retirada na loja;embalagem para presente
PA-2023-01715;12/12/2023 08:50 PM;12/12/2023 10:50 PM;Pata Amiga Joinville Sul;;;Acessório;Debito;2;0;0;3,7;180;R$ 0,00;180,18;N;Site;2023-12-13;2023-12-13;2023-12-18;;;Correios;Despachado - em transito;
PA-2023-01719;12/13/2023 04:25 AM;12/13/2023 05:15 AM; Pata Amiga Brusque;;Limeira;brinquedo;CARTAO DE DEBITO;4;0;0;14,8;250,86;R$ 14,05;236,81;V;SITE;2023-12-15;;;;;Rapido Catarinense;Aguardando nota fiscal;
PA-2023-01718;12/13/2023 01:15 AM;12/13/2023 11:15 AM;Pata Amiga Itajaí Praia;LJ-003;Fazenda;SERVICO;vale pet;4;0;0;5.4;R$ 385,57;R$ 21,59;363,98;Sim;site;2023-12-16;2023-12-16;2023-12-20;2023-12-21;20.61;Correios;Entregue;
PA-2023-01726;12/13/2023 02:50 AM;12/13/2023 12:50 PM;pata amiga laguna;LJ-024;Centro;Medicamentos;Pix;3;0;2;10.7;445.38;0,00;445.38;N;LOJA FISICA;;;;;;;Retirada na loja;
PA-2023-01720;12/13/2023 09:20 AM;12/13/2023 02:20 PM;PATA AMIGA TIMBO;LJ-005;Centro;HIGIENE;DINHEIRO;;0;0;10,9;181;31,34;R$ 149,81;V;Loja Física;;;;;;;Retirada na loja;cliente pediu entrega no periodo da tarde
PA-2023-01722;12/13/2023 05:20 PM;12/13/2023 05:40 PM;PATA AMIGA JARAGUA DO SUL;;Jaragua Esquerdo;Petisco;PIX;4;0;2;10.1;102.46;R$ 10,35;92;sim;app;2023-12-15;2023-12-15;2023-12-18;;;Logistica Propria;Despachado - em transito;aguardando confirmacao de estoque
PA-2023-01725;12/13/2023 03:40 PM;12/13/2023 05:40 PM;Pata Amiga Criciuma/SC;;Centro;Rac.;CARTAO DE DEBITO;6;0;0;5.6;1220.71;202,64;1018;V;Loja Física;;;;;;;Retirada na loja;conferir endereco com o cliente
PA-2023-01724;12/13/2023 09:50 PM;12/13/2023 10:00 PM;PATA AMIGA CRICIUMA;LJ-021;Rio Maina;brinquedo;pix;4;0;0;14.1;217,21;;R$ 181,15;true;App Pata Amiga;2023-12-14;2023-12-14;2023-12-16;2023-12-19;24.67;Rapido Catarinense;Entregue;
PA-2023-01721;12/13/2023 09:50 PM;12/13/2023 11:10 PM;Pata Amiga Indaial;LJ-006;Nacoes;ACESSORIO;Boleto;;0;0;2,8;75;13.04;R$ 62,31;1;LOJA FISICA;;;;;;;Retirada na loja;cliente pediu entrega no periodo da tarde
PA-2023-01723;12/13/2023 11:35 PM;12/14/2023 12:10 AM;Pata Amiga São Jose Kobrasol;LJ-018;Kobrasol;petisco;pix;;0;0;2.4;24.97;0,00;24.97;;site;2023-12-16;2023-12-16;;;;Logistica Propria;Aguardando despacho;
PA-2023-01731;12/14/2023 12:55 AM;12/14/2023 01:30 AM;pata amiga joinville sul;LJ-013;Vila Nova;Racao Seca;Boleto;9;1;0;30.5;R$ 1.667,79;598,74;1.069,05;SIM;SITE;2023-12-16;2023-12-17;2023-12-21;2023-12-23;100,88;Rapido Catarinense;Entregue;aguardando confirmacao de estoque
PA-2023-01741;12/14/2023 01:23 AM;12/14/2023 02:43 AM;PATA AMIGA JOINVILLE SUL;LJ-013;Aventureiro;Higiene e Beleza;Boleto;8;;0;13.7;R$ 216,09;77,58;R$ 138,51;X;LOJA FISICA;;;;;;;Retirada na loja;aguardando confirmacao de estoque
PA-2023-01755;12/14/2023 02:25 AM;12/14/2023 02:45 AM;Pata Amiga Palhoça;LJ-019;Pagani;racao;VALE PET;3;;0;1,7;;0,56;R$ 279,08;sim;site;2023-12-16;2023-12-17;2023-12-20;2023-12-23;9.91;TransPet Log;Entregue;cliente pediu entrega no periodo da tarde
PA-2023-01765;12/14/2023 01:05 AM;12/14/2023 03:05 AM;pata amiga xanxere;LJ-031;Centro;Higiene e Beleza;boleto;5;0;0;5,0;R$ 231,51;55,10;176,41;X;Whatsapp;;;;;;;Pedido cancelado;cliente pediu entrega no periodo da tarde
PA-2023-01756;12/14/2023 12:30 AM;12/14/2023 03:30 AM;pata amiga criciuma;LJ-021;Rio Maina;RAÇÃO;Debito;2;0;2;3,3;R$ 382,09;0,00;382.09;0;;2023-12-16;;;;;Correios;Aguardando nota fiscal;cliente pediu entrega no periodo da tarde
PA-2023-01763;12/14/2023 03:10 AM;12/14/2023 03:30 AM;Pata Amiga Chapecó;LJ-029;Efapi;Ração Medicamentosa;Pix;6;0;2;9,3;655,53;R$ 156,02;R$ 499,51;X;App;2023-12-16;2023-12-18;2023-12-21;2023-12-23;34,46;Logistica Propria;Entregue;
PA-2023-01729;12/14/2023 04:00 AM;12/14/2023 04:10 AM;PATA AMIGA JOINVILLE SUL;;Vila Nova;RACAO;Cartao de Credito;10;0;0;26.9;1613.71;579,32;1034.39;V;LOJA FISICA;;;;;;;Retirada na loja;pedido recorrente
PA-2023-01747;12/14/2023 01:12 AM;12/14/2023 04:12 AM;pata amiga joinville sul;;Costa e Silva;petisco;Especie;10;1;2;15,4;390,69;;R$ 250,43;S;site;2023-12-16;2023-12-17;2023-12-22;2023-12-23;R$ 53,90;Logistica Propria;Entregue;
PA-2023-01751;12/14/2023 04:00 AM;12/14/2023 04:20 AM;Pata Amiga Itapoa;LJ-016;Figueira do Pontal;Ração;pix;13;2;0;51.8;R$ 2.925,70;1050.33;R$ 1.875,37;S;SITE;2023-12-19;2023-12-20;;;;Correios;Aguardando despacho;
PA-2023-01764;12/14/2023 04:12 AM;12/14/2023 04:22 AM;PATA AMIGA XANXERE;;Centro;petisco;VALE PET;5;0;0;15,3;255.46;60,80;194.66;SIM;loja fisica;;;;;;;Retirada na loja;conferir endereco com o cliente
PA-2023-01760;12/14/2023 02:40 AM;12/14/2023 04:40 AM;Pata Amiga Chapeco;LJ-029;Sao Cristovao;Racao Medicamentosa;BOLETO;8;0;1;22.5;R$ 1.091,70;R$ 259,82;R$ 831,88;1;TELEFONE;2023-12-16;2023-12-16;2023-12-18;2023-12-21;R$ 58,57;TransPet Log;Entregue;
PA-2023-01743;12/14/2023 04:38 AM;12/14/2023 04:48 AM;PATA AMIGA JOINVILLE SUL;LJ-013;Boa Vista;Hig.;Dinheiro;7;0;0;6,8;340;122;218,22;sim;App Pata Amiga;2023-12-16;2023-12-17;2023-12-21;2023-12-23;16;Logistica Propria;Entregue;
PA-2023-01735;12/14/2023 04:50 AM;12/14/2023 05:40 AM;Pata Amiga Joinville Sul/SC;LJ-013;Boa Vista;Hig.;DINHEIRO;5;;0;3,5;234.67;R$ 84,25;150;V;site;2023-12-15;2023-12-15;2023-12-19;;;Correios;Despachado - em transito;
PA-2023-01749;12/14/2023 05:30 AM;12/14/2023 06:05 AM;PATA AMIGA SAO BENTO DO SUL;;Serra Alta;Racao;BOLETO;10;0;0;16.7;R$ 1.944,17;697,96;1.246,21;V;loja fisica;;;;;;;Retirada na loja;conferir endereco com o cliente
PA-2023-01733;12/14/2023 04:30 AM;12/14/2023 07:30 AM;Pata Amiga Joinville Sul;LJ-013;Costa e Silva;petisco;boleto;10;0;0;33,2;220,24;R$ 79,07;141,17;true;;2023-12-16;2023-12-17;2023-12-21;2023-12-22;-;TransPet Log;Entregue;produto fora de linha - substituido
PA-2023-01748;12/14/2023 06:55 AM;12/14/2023 07:45 AM;PATA AMIGA SAO BENTO DO SUL;LJ-015;Centro;Racao;Cartao de Debito;8;0;0;4.0;;R$ 452,71;808,31;SIM;APP;2023-12-16;2023-12-16;2023-12-20;2023-12-22;10,87;Rapido Catarinense;Entregue;
PA-2023-01752;12/14/2023 05:00 AM;12/14/2023 08:00 AM;Pata Amiga Itapoa;;Balneario Itapoa;Higiene e Beleza;VALE PET;9;1;0;29.8;R$ 382,06;R$ 137,16;244,90;Sim;site;2023-12-16;2023-12-16;2023-12-29;2024-01-02;96,35;TransPet Log;Entregue;
PA-2023-01762;12/14/2023 08:07 AM;12/14/2023 11:07 AM;Pata Amiga Chapeco/SC;;Passo dos Fortes;Petisco;PIX;9;0;0;32.9;403;96;307,66;V;app;2023-12-15;2023-12-16;;;;TransPet Log;Aguardando despacho;embalagem para presente
PA-2023-01767;12/14/2023 10:38 AM;12/14/2023 11:13 AM;Pata Amiga Sao Miguel do Oeste;LJ-032;Centro;Rac.;Boleto;10;1;0;40.1;R$ 2.004,10;R$ 476,98;1.527,12;1;App;;;;;;;Pedido cancelado;
PA-2023-01754;12/14/2023 11:55 AM;12/14/2023 12:45 PM;PATA AMIGA FLORIANOPOLIS NORTE;;Saco Grande;PETISCO;Cartao de Debito;4;0;n/d;16,2;139,40;R$ 0,00;R$ 139,40;nao;Loja Fisica;;;;;;;Retirada na loja;produto fora de linha - substituido
PA-2023-01738;12/14/2023 01:25 PM;12/14/2023 01:45 PM;pata amiga joinville sul;LJ-013;Vila Nova;petisco;Dinheiro;4;0;0;8.9;R$ 89,26;R$ 32,04;R$ 57,22;SIM;WhatsApp;2023-12-15;;;;;Entrega Expressa SC;Aguardando nota fiscal;
